,O3
1980,283.00056696925725
1981,279.15629783012224
1982,276.19780549343454
1983,267.1085012727736
1984,275.84184060376725
1985,286.74076702192247
1986,286.06335721863115
1987,290.1417111630523
1988,290.65091858741596
1989,291.5582809669834
1990,289.9985920266088
1991,285.21158632227736
1992,268.3820835797571
1993,271.6056983929821
1994,281.27107150113704
1995,286.04717457995713
1996,285.79043050290807
1997,290.7545781165771
1998,301.1897802449777
1999,284.56156194067205
2000,294.62589428558806
2001,299.43805992147844
2002,295.5116522904032
2003,295.413067641215
2004,294.5211689069105
2005,299.2986908165972
2006,298.8374964461441
2007,295.93680453082203
2008,295.0813622815289
2009,290.5396194952949
2010,302.5426645067498
2011,295.4508207748019
2012,294.401779333117
2013,295.82863961198365
2014,292.7302537281246
2015,292.9557836599385
2016,295.3829710331825
2017,301.8254046575078
2018,302.7726540583387
2019,299.0100404871145
