,Base,Base with HNO2 dep,Langmuir,Langmuir with HNO2 dep,Langmuir max90,"Langmuir max90, with HNO2 dep"
O3 burden (Tg),300.72,296.92,410.12,361.76,378.04,372.89
O3 surface (ppbv),25.74,25.77,37.02,32.36,33.35,33.13
CO burden (Tg),329.45,320.68,261.78,270.59,275.71,274.2
CO surface (ppbv),92.75,89.76,75.34,79.86,79.1,78.44
NO burden (Tg),0.06,0.06,0.1,0.08,0.09,0.09
NO surface (pptv),30.15,29.46,27.12,37.1,27.81,27.52
NO2 burden (Tg),0.3,0.3,0.48,0.41,0.42,0.41
NO2 surface (pptv),255.57,252.82,253.09,315.41,252.9,251.36
HNO2 burden (Gg),3.1,2.66,10.03,7.71,7.02,6.35
HNO2 surface (pptv),3.24,2.44,4.75,4.99,4.1,3.18
mw mean OH (1e6 molec cm-3),1.09,1.1,1.57,1.56,1.44,1.44
