,Global,East Asia,North America,Europe,NH,Southern Hemisphere
CEDS C2H6,0.8262483640509075,0.28445083102124546,0.15253417490084695,0.2694699917634506,0.7646497810689008,0.06159858298200671
Scaled C2H6,1.0604732634803873,0.4571493996818452,0.19517223283862664,0.1927312888147923,0.9454190401837582,0.11505422329662901
CEDS C3H8,1.117416819585697,0.5064920639244535,0.11979702264755478,0.3550830508380276,0.9981186056251973,0.11929821396049967
Scaled C3H8,0.7257992668070445,0.22119010690415658,0.11339106527690104,0.14362043769774557,0.6115666827475239,0.11423258405952062
CEDS BENZ,0.601734005237975,0.21742583619749795,0.04897037431319104,0.10888622093951802,0.5001077336345155,0.10162627160345945
Scaled BENZ,0.6047334635311254,0.2564196886424748,0.030268712022719718,0.09001003960608052,0.503107191927666,0.10162627160345945
CEDS EOH,0.20949392592182833,0.09289852811899646,0.015189024556433726,0.03804462037339647,0.17431481093895831,0.03517911498287001
Scaled EOH,0.4370231665645493,0.1163371311452378,0.08277883304863011,0.1978563664895557,0.4018440515816793,0.03517911498287001
CEDS CH2O,0.1976798086312568,0.042869032373805266,0.021368933727336,0.05522363855349443,0.17304306481081727,0.024636743820439528
Scaled CH2O,0.22628279030769186,0.07098657413211217,0.01850970456892346,0.06004135620397651,0.20164604648725232,0.024636743820439528
CEDS MEK,0.31239436697440603,0.1447326751258211,0.03643216917256505,0.06809229671950463,0.2727859885925177,0.03960837838188833
Scaled MEK,0.17701197569920438,0.061901046865956,0.009433763230502802,0.03955445564597737,0.13740359731731605,0.03960837838188833
CEDS ALK4,6.074508122207396,1.8596967112147227,0.6227937464505797,0.8740144760266704,4.765382071144111,1.3091260510632854
Scaled ALK4,5.518933796252788,1.4093035627027308,0.6023689508262624,0.7643193278598237,4.209807745189503,1.3091260510632854
CEDS TOLU,0.7073266872333375,0.29073498597291264,0.07825567262358085,0.13652164978069084,0.5976045758444712,0.10972211138886619
Scaled TOLU,0.777246906448313,0.41693181306583493,0.07149330495727424,0.08392131703747292,0.6675247950594467,0.10972211138886619
CEDS XYLE,0.6444200603186578,0.3189746632561174,0.08582906787771487,0.113626635229371,0.5533716486206842,0.09104841169797366
Scaled XYLE,0.55980459987019,0.28928146537738125,0.06903588419712856,0.07024382632240733,0.4687561881722164,0.09104841169797366
CEDS PRPE,0.32264877065296776,0.1456052424401741,0.020041304343363125,0.0505447666426928,0.2624649211253914,0.060183849527576376
Scaled PRPE,0.7105537451322775,0.5139634321220111,0.043227847082006776,0.05818761667645447,0.6503698956047012,0.060183849527576376
